run,graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
9,hollywood-2009,1139905,1139905,113891327,99.913,193.21,176.653,171.86,172.207,171.879,171.926,1.09372,1.12423,1.12197,1.12411,1.1238
9,ldoor,952203,952203,46522475,48.8577,92.544,83.5326,84.2632,83.7294,76.464,75.8424,1.10788,1.09827,1.10527,1.21029,1.22021
9,roadNet-CA,1971281,1971281,5533214,2.80691,33.0177,51.4726,51.392,51.4451,48.583,31.9029,0.641462,0.642468,0.641805,0.679614,1.03494
10,chesapeake,39,39,340,8.71795,343.899,0.065334,0.071288,0.054077,0.052908,0.052606,5263.71,4824.09,6359.44,6499.95,6537.27
10,hollywood-2009,1139905,1139905,113891327,99.913,190.476,185.045,183.813,182.874,181.938,182.261,1.02935,1.03625,1.04157,1.04693,1.04507
10,ldoor,952203,952203,46522475,48.8577,74.8905,75.1101,74.1792,74.8192,74.3849,73.6005,0.997076,1.00959,1.00095,1.0068,1.01753
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.3263,15.3273,15.4852,15.4131,15.4488,15.4382,1.06518,1.05432,1.05925,1.0568,1.05753
10,chesapeake,39,39,340,8.71795,291.304,0.079617,0.058785,0.078058,0.067837,0.052802,3658.82,4955.41,3731.89,4294.17,5516.91
10,hollywood-2009,1139905,1139905,113891327,99.913,191.413,187.725,187.868,186.527,186.314,187.186,1.01965,1.01887,1.02619,1.02737,1.02258
10,ldoor,952203,952203,46522475,48.8577,77.2267,76.1079,75.2857,75.3952,75.3954,75.6129,1.0147,1.02578,1.02429,1.02429,1.02134
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.5974,15.5633,15.5195,15.5186,15.6779,15.5942,1.06644,1.06946,1.06951,1.05865,1.06433
10,chesapeake,39,39,340,8.71795,302.183,0.061024,0.054055,0.051315,0.050563,0.050281,4951.86,5590.28,5888.78,5976.36,6009.88
10,hollywood-2009,1139905,1139905,113891327,99.913,196.103,192.791,187.623,190.912,189.479,189.22,1.01718,1.0452,1.02719,1.03496,1.03638
10,ldoor,952203,952203,46522475,48.8577,78.0552,76.253,75.5656,75.4145,75.4757,75.5028,1.02363,1.03295,1.03502,1.03418,1.0338
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.7355,15.5504,15.5616,15.5827,15.5987,15.7288,1.07622,1.07544,1.07398,1.07288,1.06401
10,chesapeake,39,39,340,8.71795,293.888,0.059451,0.05138,0.048578,0.048572,0.048467,4943.37,5719.89,6049.82,6050.57,6063.67
10,hollywood-2009,1139905,1139905,113891327,99.913,188.293,183.315,182.868,181.599,180.81,180.977,1.02715,1.02966,1.03686,1.04138,1.04042
10,ldoor,952203,952203,46522475,48.8577,75.655,75.0349,74.4006,73.5963,74.0807,73.9809,1.00826,1.01686,1.02797,1.02125,1.02263
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.2717,15.0905,15.0505,15.1765,15.0675,15.0322,1.07827,1.08114,1.07216,1.07992,1.08246
10,chesapeake,39,39,340,8.71795,297.752,0.062997,0.054848,0.093702,0.068515,0.054304,4726.45,5428.68,3177.65,4345.79,5483.06
10,hollywood-2009,1139905,1139905,113891327,99.913,182.185,179.519,180.859,179.929,180.012,180.319,1.01485,1.00733,1.01254,1.01207,1.01035
10,ldoor,952203,952203,46522475,48.8577,73.4785,72.7884,72.4879,71.8331,72.3551,72.3792,1.00948,1.01367,1.02291,1.01553,1.01519
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.1041,15.2462,15.2503,15.2339,15.2135,15.2832,1.05627,1.05599,1.05712,1.05854,1.05371
10,chesapeake,39,39,340,8.71795,299.012,0.062798,0.053715,0.052797,0.05216,0.052008,4761.48,5566.63,5663.42,5732.58,5749.34
10,hollywood-2009,1139905,1139905,113891327,99.913,184.767,179.197,178.051,178.686,179.584,181.695,1.03108,1.03772,1.03403,1.02886,1.01691
10,ldoor,952203,952203,46522475,48.8577,73.4955,72.8722,71.7751,71.866,71.7576,71.6039,1.00855,1.02397,1.02268,1.02422,1.02642
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.2176,15.2472,15.3302,15.2804,15.1846,15.1111,1.06365,1.05789,1.06134,1.06803,1.07322
10,chesapeake,39,39,340,8.71795,277.78,0.058203,0.051962,0.04992,0.048211,0.048954,4772.61,5345.83,5564.5,5761.75,5674.31
10,hollywood-2009,1139905,1139905,113891327,99.913,184.922,182.643,182.084,182.083,183.331,183.602,1.01248,1.01559,1.01559,1.00868,1.00719
10,ldoor,952203,952203,46522475,48.8577,74.6386,73.0053,73.8595,74.1083,73.0232,74.0035,1.02237,1.01055,1.00716,1.02212,1.00858
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.4784,15.3611,15.3105,15.6279,15.3717,15.0984,1.07274,1.07628,1.05442,1.07199,1.0914
10,chesapeake,39,39,340,8.71795,299.804,0.072811,0.069375,0.056683,0.051892,0.051643,4117.57,4321.51,5289.14,5777.47,5805.33
10,hollywood-2009,1139905,1139905,113891327,99.913,187.255,181.781,181.477,179.583,180.056,179.599,1.03011,1.03184,1.04272,1.03998,1.04263
10,ldoor,952203,952203,46522475,48.8577,74.6795,74.1109,73.7726,73.6425,72.7585,72.8374,1.00767,1.01229,1.01408,1.0264,1.02529
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.2279,15.3199,15.347,15.34,15.3158,15.3491,1.05927,1.0574,1.05789,1.05955,1.05726
10,chesapeake,39,39,340,8.71795,302.215,0.067728,0.057909,0.05381,0.052819,0.05283,4462.18,5218.79,5616.33,5721.7,5720.51
10,hollywood-2009,1139905,1139905,113891327,99.913,185.754,182.395,182.649,187.363,185.185,184.315,1.01841,1.017,0.991413,1.00307,1.00781
10,ldoor,952203,952203,46522475,48.8577,75.5867,74.8628,74.2021,74.1723,74.1407,74.0579,1.00967,1.01866,1.01907,1.0195,1.02064
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.429,15.3015,15.2312,15.254,15.2216,15.2127,1.07369,1.07864,1.07703,1.07932,1.07995
10,chesapeake,39,39,340,8.71795,304.143,0.062416,0.054843,0.064277,0.055197,0.065652,4872.85,5545.71,4731.76,5510.15,4632.66
10,hollywood-2009,1139905,1139905,113891327,99.913,186.362,182.223,182.853,182.336,182.552,184.088,1.02271,1.01919,1.02208,1.02087,1.01235
10,ldoor,952203,952203,46522475,48.8577,75.5292,74.4248,74.5338,73.6254,73.6097,73.8174,1.01484,1.01336,1.02586,1.02608,1.02319
10,roadNet-CA,1971281,1971281,5533214,2.80691,16.257,15.5347,15.4271,15.4537,15.4606,15.4027,1.04649,1.05379,1.05198,1.05151,1.05546
10,chesapeake,39,39,340,8.71795,354.684,0.059202,0.052353,0.050732,0.050558,0.049203,5991.08,6774.85,6991.33,7015.39,7208.58
10,hollywood-2009,1139905,1139905,113891327,99.913,193.231,176.726,172.989,172.429,172.845,172.387,1.09339,1.11701,1.12064,1.11794,1.12091
10,ldoor,952203,952203,46522475,48.8577,92.2185,86.0032,85.7706,78.2839,76.0672,76.0575,1.07227,1.07518,1.178,1.21233,1.21248
10,roadNet-CA,1971281,1971281,5533214,2.80691,53.5114,64.0747,64.0407,47.2736,34.6612,34.6551,0.83514,0.835583,1.13195,1.54384,1.54411
10,chesapeake,39,39,340,8.71795,238.848,0.052745,0.044008,0.043812,0.042793,0.04129,4528.36,5427.38,5451.66,5581.48,5784.65
10,hollywood-2009,1139905,1139905,113891327,99.913,190.38,178.846,171.909,171.633,171.825,171.714,1.06449,1.10745,1.10923,1.10799,1.1087
10,ldoor,952203,952203,46522475,48.8577,92.3929,91.7712,91.5127,78.9988,78.4666,75.7169,1.00677,1.00962,1.16955,1.17748,1.22024
10,roadNet-CA,1971281,1971281,5533214,2.80691,65.2012,63.9705,53.5405,38.6308,38.6891,37.9369,1.01924,1.21779,1.6878,1.68526,1.71868
10,chesapeake,39,39,340,8.71795,246.902,0.053783,0.04725,0.046168,0.045693,0.045345,4590.7,5225.43,5347.9,5403.49,5444.96
10,hollywood-2009,1139905,1139905,113891327,99.913,193.148,177.203,172.32,172.531,172.201,172.045,1.08998,1.12086,1.11949,1.12164,1.12266
10,ldoor,952203,952203,46522475,48.8577,211.167,210.151,209.764,209.702,209.381,210.154,1.00483,1.00669,1.00698,1.00853,1.00482
10,roadNet-CA,1971281,1971281,5533214,2.80691,65.1936,64.2302,57.3281,38.7752,38.7311,38.2405,1.015,1.1372,1.68132,1.68323,1.70483
10,chesapeake,39,39,340,8.71795,236.562,0.051576,0.043332,0.057915,0.044445,0.041402,4586.67,5459.29,4084.64,5322.58,5713.78
10,hollywood-2009,1139905,1139905,113891327,99.913,192.327,175.769,171.15,171.308,172.162,171.104,1.0942,1.12373,1.1227,1.11713,1.12404
10,ldoor,952203,952203,46522475,48.8577,92.0071,91.2234,79.1146,78.6983,78.565,78.5012,1.00859,1.16296,1.16911,1.1711,1.17205
10,roadNet-CA,1971281,1971281,5533214,2.80691,65.0345,62.6479,48.2633,48.3716,48.3826,48.3027,1.0381,1.34749,1.34448,1.34417,1.3464
10,chesapeake,39,39,340,8.71795,236.208,0.052567,0.044997,0.043838,0.042796,0.067282,4493.46,5249.41,5388.2,5519.39,3510.71
10,hollywood-2009,1139905,1139905,113891327,99.913,184.027,179.491,172.179,171.437,171.924,172.069,1.02527,1.06881,1.07344,1.0704,1.06949
10,ldoor,952203,952203,46522475,48.8577,92.8073,84.5497,83.0555,83.0256,75.8249,75.0623,1.09767,1.11741,1.11782,1.22397,1.2364
10,roadNet-CA,1971281,1971281,5533214,2.80691,33.1798,31.8053,32.6645,43.0466,43.0345,42.3747,1.04322,1.01578,0.770788,0.771006,0.78301
10,chesapeake,39,39,340,8.71795,236.063,0.053294,0.04501,0.044174,0.04368,0.042318,4429.45,5244.68,5343.94,5404.38,5578.32
10,hollywood-2009,1139905,1139905,113891327,99.913,478.303,475.457,475.609,476.513,476.707,475.744,1.00599,1.00566,1.00376,1.00335,1.00538
10,ldoor,952203,952203,46522475,48.8577,91.821,87.0811,81.1244,81.0788,75.3797,75.2517,1.05443,1.13185,1.13249,1.21811,1.22018
10,roadNet-CA,1971281,1971281,5533214,2.80691,33.1582,31.8239,36.3056,36.2645,36.2978,36.0455,1.04193,0.913309,0.914344,0.913504,0.9199
10,chesapeake,39,39,340,8.71795,234.086,0.051822,0.044596,0.043323,0.042134,0.040387,4517.11,5249.03,5403.26,5555.74,5796.06
10,hollywood-2009,1139905,1139905,113891327,99.913,192.216,176.476,172.294,172.201,172.689,172.861,1.08919,1.11562,1.11623,1.11308,1.11197
10,ldoor,952203,952203,46522475,48.8577,91.9349,91.1493,90.7535,78.1748,77.9557,75.1608,1.00862,1.01302,1.17602,1.17932,1.22318
10,roadNet-CA,1971281,1971281,5533214,2.80691,65.1415,64.0142,48.009,41.6269,41.5888,40.8608,1.01761,1.35686,1.56489,1.56632,1.59423
10,chesapeake,39,39,340,8.71795,247.269,0.053281,0.045595,0.057024,0.046067,0.043503,4640.86,5423.17,4336.23,5367.6,5683.96
10,hollywood-2009,1139905,1139905,113891327,99.913,193.286,176.781,172.171,172.282,171.86,171.537,1.09337,1.12264,1.12192,1.12468,1.12679
10,ldoor,952203,952203,46522475,48.8577,92.4033,91.7622,86.4233,78.5186,78.7086,75.7369,1.00699,1.0692,1.17683,1.17399,1.22006
10,roadNet-CA,1971281,1971281,5533214,2.80691,65.1692,64.3085,47.4451,42.541,42.3291,41.7303,1.01338,1.37357,1.53192,1.53959,1.56168
10,chesapeake,39,39,340,8.71795,239.196,0.051553,0.043839,0.043113,0.042792,0.0409,4639.82,5456.25,5548.13,5589.75,5848.32
10,hollywood-2009,1139905,1139905,113891327,99.913,193.21,176.653,171.86,172.207,171.879,171.926,1.09372,1.12423,1.12197,1.12411,1.1238
10,ldoor,952203,952203,46522475,48.8577,92.544,83.5326,84.2632,83.7294,76.464,75.8424,1.10788,1.09827,1.10527,1.21029,1.22021
10,roadNet-CA,1971281,1971281,5533214,2.80691,33.0177,51.4726,51.392,51.4451,48.583,31.9029,0.641462,0.642468,0.641805,0.679614,1.03494
10,chesapeake,39,39,340,8.71795,240.56,0.052425,0.064877,0.044171,0.043466,0.040943,4588.65,3707.94,5446.1,5534.44,5875.48
10,hollywood-2009,1139905,1139905,113891327,99.913,193.932,176.889,172.735,172.22,172.21,172.211,1.09635,1.12271,1.12607,1.12614,1.12613
10,ldoor,952203,952203,46522475,48.8577,92.2114,91.3659,79.6179,79.7569,75.9381,75.726,1.00925,1.15817,1.15616,1.2143,1.2177
10,roadNet-CA,1971281,1971281,5533214,2.80691,32.9924,31.9187,32.8124,33.6609,33.5946,33.5524,1.03364,1.00549,0.980141,0.982077,0.98331
